iter	Logloss
266	0.1104714214
267	0.1100214956
268	0.1098005023
269	0.1097825741
270	0.1097352597
271	0.1093984032
272	0.1086794501
273	0.1086372727
274	0.108350111
275	0.1082866269
276	0.1082040619
277	0.1078773536
278	0.1078750913
279	0.1078280171
280	0.1077550518
281	0.1075078276
282	0.1071772076
283	0.1068958819
284	0.1066246801
285	0.1065972781
286	0.1060226368
287	0.1055351904
288	0.1052599623
289	0.1049569789
290	0.10493569
291	0.1047808935
292	0.1045996573
293	0.104205334
294	0.1041451363
295	0.1040378466
296	0.1038416322
297	0.1036927134
298	0.1031591648
299	0.1030519883
300	0.1029393076
301	0.1028886873
302	0.1028477161
303	0.1028358199
304	0.1028314367
305	0.1023654226
306	0.102321469
307	0.1020727532
308	0.102047269
309	0.101972211
310	0.1017783226
311	0.1016205854
312	0.1015880942
313	0.1014793336
314	0.1010553822
315	0.100850478
316	0.1007128709
317	0.10052447
318	0.09964619219
319	0.09962385517
320	0.09953083626
321	0.09933104922
322	0.09903604485
323	0.09894239363
324	0.09891179433
325	0.09881567184
326	0.09875917543
327	0.09822994867
328	0.09780882141
329	0.09758683353
330	0.09740198719
331	0.09717175255
332	0.09639428346
333	0.0962038334
334	0.09602589696
335	0.09600265322
336	0.09589162435
337	0.09570489661
338	0.09558589612
339	0.09556095073
340	0.09538756591
341	0.09534554811
342	0.09514092425
343	0.0951360715
344	0.09503571363
345	0.09492959606
346	0.09492760469
347	0.09480140523
348	0.09460056663
349	0.09453582836
350	0.09393224244
351	0.0938855617
352	0.0937887037
353	0.09368135681
354	0.09353519046
355	0.09348159041
356	0.09345892332
357	0.09340401925
358	0.09335863626
359	0.0931385087
360	0.09299107654
361	0.09282697845
362	0.09269317912
363	0.09259668047
364	0.09245439442
365	0.09197572483
366	0.09185269637
367	0.09180464772
368	0.0917828134
369	0.09175701582
370	0.09165294909
371	0.09148052519
372	0.09132468233
373	0.09121477051
374	0.09112807923
375	0.09082124537
376	0.09080894734
377	0.09060145832
378	0.09060032815
379	0.09054277254
380	0.09033646799
381	0.09022424896
382	0.09018786518
383	0.09001716877
384	0.08978787303
385	0.08926530657
386	0.08906871029
387	0.08873295236
388	0.08862427784
389	0.08818930025
390	0.08811940578
391	0.08797339184
392	0.0879527458
393	0.08791738413
394	0.08787310806
395	0.08778643526
396	0.08774984287
397	0.08767715441
398	0.08763773093
399	0.08753480625
