iter	Logloss
0	0.6642320843
1	0.6233416828
2	0.6050846521
3	0.575655705
4	0.5346829591
5	0.5143548933
6	0.5049654034
7	0.4885529767
8	0.4620658881
9	0.4451890055
10	0.4274962993
11	0.414934297
12	0.404195797
13	0.3951407884
14	0.3662415086
15	0.3562017013
16	0.3358607184
17	0.3221487012
18	0.3120880412
19	0.3111377181
20	0.3092325527
21	0.3088342471
22	0.3059123739
23	0.2995572239
24	0.298548815
25	0.2963906807
26	0.2918241068
27	0.2900871807
28	0.2880374986
29	0.2876985299
30	0.287263079
31	0.2854559025
32	0.2818271379
33	0.2786468987
34	0.2778282253
35	0.2758227471
36	0.2739330092
37	0.2727730229
38	0.2723770112
39	0.2715878132
40	0.2715813478
41	0.271505087
42	0.2700641237
43	0.2694469124
44	0.2682414649
45	0.2668026312
46	0.2654141421
47	0.2640494263
48	0.2637600456
49	0.2630320117
50	0.2613763443
51	0.2604162702
52	0.2597642452
53	0.2544866966
54	0.2541698297
55	0.2522062617
56	0.2488307668
57	0.2453970982
58	0.2444548056
59	0.2436728132
60	0.2436468796
61	0.2427314462
62	0.2416907067
63	0.2412901141
64	0.2392408489
65	0.2389130075
66	0.2379712479
67	0.2379266553
68	0.2367196897
69	0.2365195477
70	0.2360738355
71	0.2283001511
72	0.2281827437
73	0.2255666233
74	0.2200094688
75	0.2196331193
76	0.2190098444
77	0.2181787929
78	0.2177220578
79	0.2171330443
80	0.2144595725
81	0.2143273461
82	0.2142151425
83	0.2135728413
84	0.2133811886
85	0.2121485351
86	0.2102542985
87	0.2101247888
88	0.2095959219
89	0.2090921669
90	0.2078572273
91	0.2076933863
92	0.2061953827
93	0.2058397703
94	0.2058241405
95	0.2056407038
96	0.2052400766
97	0.1990384418
98	0.1915462509
99	0.1914553013
100	0.1913515609
101	0.1907056677
102	0.1859478361
103	0.1859335979
104	0.1855858287
105	0.1821828809
106	0.1819795003
107	0.1819688751
108	0.1817387072
109	0.1812786503
110	0.1802731159
111	0.1802094024
112	0.1800658048
113	0.1752743427
114	0.1751450951
115	0.1747225328
116	0.1746104749
117	0.1716536977
118	0.171201447
119	0.1700600714
120	0.1693521994
121	0.1690436362
122	0.168500846
123	0.1679470301
124	0.1677311114
125	0.1668834528
126	0.1667488237
127	0.1659399054
128	0.1653984641
129	0.1653975006
130	0.1609618035
131	0.1597921426
132	0.1596670841
133	0.1590040673
134	0.158755384
135	0.1587107035
136	0.158443293
137	0.1583394776
138	0.1582231707
139	0.1580699163
140	0.1579798939
141	0.1575979457
142	0.1575592258
143	0.1572611253
144	0.1568799095
145	0.1567990387
146	0.1567620308
147	0.1566718117
148	0.1566041395
149	0.1564491314
150	0.1562780676
151	0.1562650263
152	0.1561322044
153	0.1559149944
154	0.1553545975
155	0.1552157128
156	0.1548401702
157	0.15332762
158	0.1532631593
159	0.1511416278
160	0.1507968377
161	0.1497038746
162	0.1495160366
163	0.149225706
164	0.1490346468
165	0.1489884563
166	0.148656677
167	0.1486539293
168	0.1479022543
169	0.1475800562
170	0.1454032194
171	0.1451481833
172	0.145072473
173	0.1449421293
174	0.1448422926
175	0.143480391
176	0.1419283148
177	0.1419194775
178	0.1417856852
179	0.1417269192
180	0.1414331755
181	0.1410588157
182	0.1405911767
183	0.1400711347
184	0.139822488
185	0.1396028749
186	0.139510205
187	0.1389072476
188	0.1374091395
189	0.1372000884
190	0.1369376917
191	0.1368713093
192	0.136698741
193	0.1363719356
194	0.136358361
195	0.136235977
196	0.1360913844
197	0.1359225141
198	0.1358435224
199	0.1357209458
200	0.1355204039
201	0.1340479958
202	0.13248365
203	0.1324009942
204	0.1320969093
205	0.1316853538
206	0.1315727156
207	0.1314803666
208	0.1312634366
209	0.1308355771
210	0.1303411644
211	0.1295725127
212	0.129489079
213	0.1292115818
214	0.1278358353
215	0.1262378102
216	0.1238868275
217	0.1234912059
218	0.1231335945
219	0.1230267316
220	0.1228187532
221	0.122391894
222	0.1222848366
223	0.1222648811
224	0.1221867005
225	0.1202023896
226	0.1197197645
227	0.1192002176
228	0.1189528165
229	0.1181159373
230	0.1166174499
231	0.1164256029
232	0.115979033
233	0.1158787517
234	0.1157405944
235	0.1156818109
236	0.1155833834
237	0.1153875425
238	0.1149312127
239	0.1145906306
240	0.1145160116
241	0.114507294
242	0.1144307915
243	0.1143295962
244	0.1140420989
245	0.1136963965
246	0.1131981088
247	0.1131591573
248	0.1130690132
249	0.1130258501
250	0.1127119705
251	0.1126881676
252	0.1126609517
253	0.1123855608
254	0.1122739298
255	0.112186937
256	0.1119388825
257	0.111683469
258	0.1116612265
259	0.1115421723
260	0.1112909708
261	0.1110094247
262	0.1109252303
263	0.1106523962
264	0.1106238818
265	0.1105437802
